system_metadata.id,organisation.country,organisation.url,repository_metadata.software.name,repository_metadata.metadata_record_count,repository_metadata.type,repository_metadata.url,repository_metadata.full_text_record_count,repository_metadata.oai_url,system_metadata.uri,repository_metadata.software.name_other
197,be,http://www.thomasmore.be/,other,11031.0,institutional,http://doks.khk.be/eindwerk,,http://doks.khk.be/eindwerk/oai,https://v2.sherpa.ac.uk/id/repository/197,DOKS
199,de,http://www.uni-koeln.de/,eprints,41954.0,institutional,http://kups.ub.uni-koeln.de/,5800.0,http://kups.ub.uni-koeln.de/cgi/oai2,https://v2.sherpa.ac.uk/id/repository/199,
201,gb,http://www.lancaster.ac.uk/,eprints,85030.0,institutional,http://eprints.lancs.ac.uk/,18824.0,http://eprints.lancs.ac.uk/cgi/oai2,https://v2.sherpa.ac.uk/id/repository/201,
202,nl,https://www.universiteitleiden.nl,islandora,76560.0,institutional,https://scholarlypublications.universiteitleiden.nl,26449.0,https://scholarlypublications.universiteitleiden.nl/oai2,https://v2.sherpa.ac.uk/id/repository/202,
206,gb,http://www2.lse.ac.uk/home.aspx,eprints,70866.0,institutional,http://eprints.lse.ac.uk/,,http://eprints.lse.ac.uk/cgi/oai2,https://v2.sherpa.ac.uk/id/repository/206,
209,se,http://mah.se/english,dspace,30397.0,institutional,http://dspace.mah.se/,0.0,http://dspace.mah.se/oai/request,https://v2.sherpa.ac.uk/id/repository/209,
211,de,http://www.mpg.de/,other,200000.0,institutional,http://edoc.mpg.de/,,http://edoc.mpg.de/ac_oai.pl,https://v2.sherpa.ac.uk/id/repository/211,eDoc
213,gb,http://www.mdx.ac.uk/,eprints,17151.0,institutional,http://eprints.mdx.ac.uk/,,http://eprints.mdx.ac.uk/cgi/oai2,https://v2.sherpa.ac.uk/id/repository/213,
214,us,http://www.wisc.edu/,dspace,26456.0,institutional,http://minds.wisconsin.edu/,2616.0,http://minds.wisconsin.edu/oai/request,https://v2.sherpa.ac.uk/id/repository/214,
216,de,http://www.mpifg.de/,other,61800.0,institutional,http://www.mpifg.de/pu/mpifg_pub_en.asp,,,https://v2.sherpa.ac.uk/id/repository/216,HTML
217,ca,http://www.umanitoba.ca/,dspace,24394.0,institutional,https://mspace.lib.umanitoba.ca,,,https://v2.sherpa.ac.uk/id/repository/217,
218,de,http://www.tu-chemnitz.de/,other,3560.0,institutional,http://monarch.qucosa.de/startseite/,,http://monarch.qucosa.de/oai/,https://v2.sherpa.ac.uk/id/repository/218,TYPO3
219,de,http://www.uni-mannheim.de/,other,6781.0,institutional,http://www.mzes.uni-mannheim.de/d7/de/publications/search?f[0]=field_biblio_mzes_pub_type%3A1/,,,https://v2.sherpa.ac.uk/id/repository/219,HTML
223,ie,http://www.maynoothuniversity.ie/,eprints,13022.0,institutional,http://eprints.maynoothuniversity.ie/,2.0,http://eprints.maynoothuniversity.ie/cgi/oai2,https://v2.sherpa.ac.uk/id/repository/223,
225,gb,https://www.ncl.ac.uk,eprints,126517.0,institutional,https://eprints.ncl.ac.uk,25055.0,https://eprints.ncl.ac.uk/oai,https://v2.sherpa.ac.uk/id/repository/225,
227,gb,http://www.nottingham.ac.uk/,eprints,6259.0,institutional,http://eprints.nottingham.ac.uk/etheses/,,http://eprints.nottingham.ac.uk/cgi/oai2,https://v2.sherpa.ac.uk/id/repository/227,
230,us,http://www.osu.edu/,dspace,85779.0,institutional,https://kb.osu.edu/dspace/,30782.0,https://kb.osu.edu/oai/request,https://v2.sherpa.ac.uk/id/repository/230,
236,de,https://www.hs-duesseldorf.de,opus,907.0,institutional,https://opus4.kobv.de/opus4-hs-duesseldorf/home,,,https://v2.sherpa.ac.uk/id/repository/236,
238,de,http://www.ku-eichstaett.de/,opus,172.0,institutional,http://www.opus-bayern.de/ku-eichstaett/,2.0,http://opus4.kobv.de/opus4-ku-eichstaett/oai,https://v2.sherpa.ac.uk/id/repository/238,
240,de,http://www.uni-passau.de/,opus,402.0,institutional,https://opus4.kobv.de/opus4-uni-passau/home,,https://opus4.kobv.de/opus4-uni-passau/oai,https://v2.sherpa.ac.uk/id/repository/240,
242,de,http://www.bib-info.de/,opus,1621.0,institutional,http://www.bib-info.de/verband/publikationen/opus.html,,,https://v2.sherpa.ac.uk/id/repository/242,
