,clickable_url,url_check
565,https://digitalcommons.plymouth.edu,ConnectionError
566,https://digitalcommons.njit.edu,200
567,https://digitalcommons.luthersem.edu,200
568,https://dclu.langston.edu,200
569,https://digitalcommons.harrisburgu.edu,200
570,https://digitalcommons.fuller.edu,200
571,https://digitalcommons.cortland.edu,200
572,https://digitalcommons.csumb.edu,200
573,https://digitalcommons.biola.edu,200
574,https://digitalcommons.assumption.edu,200
575,https://digitalcommons.wcl.american.edu,200
576,https://digitalcommons.cedarville.edu,200
577,https://digitalcommons.daemen.edu,200
578,https://commons.cu-portland.edu,ConnectionError
579,https://scholarship.law.columbia.edu,200
580,https://digitalcommons.colum.edu,200
581,https://digitalcommons.collin.edu,200
582,https://crossworks.holycross.edu,200
583,https://digitalcommons.csbsju.edu,200
584,https://commons.colgate.edu,200
585,https://tigerprints.clemson.edu,200
586,https://digitalcommons.stritch.edu,ConnectionError
587,https://cufind.campbell.edu,200
588,https://brooklynworks.brooklaw.edu,200
589,https://digitalcommons.bridgewater.edu,200
590,https://scholarworks.bgsu.edu,200
591,https://repository.belmont.edu,200
592,https://scholarworks.bellarmine.edu,200
593,https://scholar.dsu.edu,200
594,https://lawpublications.barry.edu,200
595,https://digicom.bpl.lib.me.us,200
596,https://digitalrepository.aurorahealthcare.org,200
597,https://aquila.usm.edu,200
598,https://aura.antioch.edu,200
599,https://commons.allard.ubc.ca,200
600,https://repository.law.umich.edu,200
601,https://knowledgecenter.ubt-uni.net,200
602,http://dlibrary.acu.edu.au/digitaltheses/public/,404
603,http://researchoutput.csu.edu.au/R?func=search&local_base=GEN01-CSU01,404
604,http://research-repository.uwa.edu.au/,200
605,http://repository.cuni.cz/,200
606,http://www.bne.es/es/Catalogos/BibliotecaDigitalHispanica/Inicio/index.html,200
607,http://digitool.abdn.ac.uk/R,ConnectionError
608,http://asp01.ex-lh.hu/,ConnectionError
609,http://digitool01.sibul.ul.pt/,200
610,http://digitool.uma.pt/,ConnectionError
611,http://openaccess.amasya.edu.tr,200
612,https://library.fau.edu/digital-library,200
613,http://bclsco.bc.edu/,ConnectionError
614,http://access.cjh.org/,200
615,http://uctscholar.uct.ac.za/,ConnectionError
616,http://du.diva-portal.org/smash/search.jsf?dswid=-1275,200
617,http://ltu.diva-portal.org/smash/search.jsf?dswid=-7504,200
618,http://mdh.diva-portal.org/smash/search.jsf,200
619,http://hj.diva-portal.org/smash/search.jsf,200
620,http://kth.diva-portal.org/smash/search.jsf?rvn=1,200
621,http://liu.diva-portal.org/smash/search.jsf,200
622,http://sh.diva-portal.org,200
623,http://su.diva-portal.org/smash/search.jsf,200
624,http://umu.diva-portal.org/smash/search.jsf,200
625,http://lnu.diva-portal.org/smash/search.jsf,200
626,http://uu.diva-portal.org/smash/search.jsf,200
627,http://kau.diva-portal.org/smash/search.jsf,200
628,http://oru.diva-portal.org/smash/search.jsf,200
629,http://hig.diva-portal.org/smash/search.jsf,200
630,http://his.diva-portal.org/smash/search.jsf,200
631,http://fhs.diva-portal.org/smash/search.jsf,200
632,http://gih.diva-portal.org/smash/search.jsf,200
633,http://hh.diva-portal.org/smash/search.jsf,200
634,http://hkr.diva-portal.org/smash/search.jsf,200
635,http://hv.diva-portal.org/smash/search.jsf,200
636,http://miun.diva-portal.org/smash/search.jsf,200
637,http://nai.diva-portal.org/smash/search.jsf,200
638,http://esh.diva-portal.org/smash/search.jsf,200
639,http://hhs.diva-portal.org/smash/search.jsf,ConnectionError
640,http://kmh.diva-portal.org/smash/search.jsf,200
641,http://konstfack.diva-portal.org/smash/search.jsf,200
642,http://rkh.diva-portal.org/smash/search.jsf,200
643,http://shh.diva-portal.org/smash/search.jsf,200
644,https://vti.diva-portal.org/smash/search.jsf,200
645,http://ri.diva-portal.org,200
646,http://havochvatten.diva-portal.org,200
647,https://pub.mdw.ac.at,200
