,full_query_x,manual_software_count_x,category_x,clickable_url,Unnamed: 0,system_metadata_id,organisation_country,organisation_url,repository_metadata_software_name,repository_metadata_metadata_record_count,repository_metadata_type,repository_metadata_url,manual_software_count_y,url_check,category_y,full_query_y,repository_metadata_full_text_record_count,repository_metadata_oai_url,system_metadata_uri,repository_metadata_software_name_other
48,http://shudo-u.repo.nii.ac.jp/search?page=1&size=20&sort=-createdate&search_type=0&q=&title=&creator=&type=43&wid=&iid=&float_range1_from=&float_range1_to=&geo_point1_lat=&geo_point1_lon=&geo_point1_distance=,,Error,shudo-u.repo.nii.ac.jp,2219,3215,jp,http://www.shudo-u.ac.jp/,weko,2180.0,institutional,http://shudo-u.repo.nii.ac.jp,,200,error,,,http://shudo-u.repo.nii.ac.jp/oai,https://v2.sherpa.ac.uk/id/repository/3215,
49,,,,tsuda.repo.nii.ac.jp/,3854,6412,jp,https://www.tsuda.ac.jp,weko,299.0,institutional,http://tsuda.repo.nii.ac.jp/,,200,error,,254.0,http://tsuda.repo.nii.ac.jp/oai,https://v2.sherpa.ac.uk/id/repository/6412,
50,,,,cur-ren.repo.nii.ac.jp/,885,1497,jp,http://www.cjc.ac.jp/,weko,832.0,institutional,https://cur-ren.repo.nii.ac.jp/,,200,error,,746.0,http://cur-ren.repo.nii.ac.jp/oai,https://v2.sherpa.ac.uk/id/repository/1497,HTML
51,,,,daido.repo.nii.ac.jp/,2323,3334,jp,http://www.daido-it.ac.jp/,weko,80.0,institutional,https://daido.repo.nii.ac.jp/,,200,error,,,http://daido.repo.nii.ac.jp/oai,https://v2.sherpa.ac.uk/id/repository/3334,
52,,,,dwcla.repo.nii.ac.jp/,1379,2132,jp,http://www.dwc.doshisha.ac.jp/,weko,1979.0,institutional,https://dwcla.repo.nii.ac.jp/,,200,error,,0.0,http://dwcla.repo.nii.ac.jp/oai,https://v2.sherpa.ac.uk/id/repository/2132,
53,,,,gijodai.repo.nii.ac.jp/,2729,3781,jp,http://www.gijodai.ac.jp/,weko,109.0,institutional,https://gijodai.repo.nii.ac.jp/,,200,error,,73.0,http://gijodai.repo.nii.ac.jp/oai,https://v2.sherpa.ac.uk/id/repository/3781,
54,,,,ipu.repo.nii.ac.jp/,2287,3294,jp,http://www.iwate-pu.ac.jp/,weko,727.0,institutional,https://ipu.repo.nii.ac.jp/,,200,error,,434.0,http://ipu.repo.nii.ac.jp/oai,https://v2.sherpa.ac.uk/id/repository/3294,
55,,,,jc.u-aizu.nii.ac.jp/,3899,6490,jp,http://www.jc.u-aizu.ac.jp/,weko,1321.0,institutional,https://jc.u-aizu.nii.ac.jp/,,ConnectionError,error,,68.0,http://jc.u-aizu.repo.nii.ac.jp/oai,https://v2.sherpa.ac.uk/id/repository/6490,
56,,,,jiia.repo.nii.ac.jp/,3904,6515,jp,http://www2.jiia.or.jp,weko,1210.0,institutional,https://jiia.repo.nii.ac.jp/,,200,error,,79.0,http://jiia.repo.nii.ac.jp/oai,https://v2.sherpa.ac.uk/id/repository/6515,
57,,,,kdu.repo.nii.ac.jp/,2722,3774,jp,http://www.kdu.ac.jp/,weko,1246.0,institutional,https://kdu.repo.nii.ac.jp/,,200,error,,677.0,http://kdu.repo.nii.ac.jp/oai,https://v2.sherpa.ac.uk/id/repository/3774,
58,https://konan-u.repo.nii.ac.jp/search?page=1&size=20&sort=-createdate&search_type=0&q=&title=&creator=&type=43&wid=&iid=&float_range1_from=&float_range1_to=&geo_point1_lat=&geo_point1_lon=&geo_point1_distance=,,Error,konan-u.repo.nii.ac.jp,2884,3950,jp,http://www.konan-u.ac.jp/,weko,3800.0,institutional,https://konan-u.repo.nii.ac.jp,,200,error,,2955.0,http://konan-u.repo.nii.ac.jp/oai,https://v2.sherpa.ac.uk/id/repository/3950,
